,cdf,TOTAL_EXPERT_COMPUTATION
0,0.0,0.3279149930667399
1,0.01,0.42443314123644965
2,0.02,0.4681339748428926
3,0.03,0.48919175060943004
4,0.04,0.49410821108627984
5,0.05,0.49708177310937074
6,0.06,0.4990740828289376
7,0.07,0.5000732301419085
8,0.08,0.5020775296572072
9,0.09,0.5040898624290469
10,0.1,0.5288762997691312
11,0.11,0.5417228775491246
12,0.12,0.5428074078345082
13,0.13,0.5438941093516945
14,0.14,0.5438941093516945
15,0.15,0.5449829864474937
16,0.16,0.5449829864474937
17,0.17,0.5460740434774185
18,0.18,0.5460740434774185
19,0.19,0.5471672848057016
20,0.2,0.5482627148053126
21,0.21,0.549360337857976
22,0.22,0.5504601583541882
23,0.23,0.5504601583541882
24,0.24,0.5515621806932356
25,0.25,0.5515621806932356
26,0.26,0.5515621806932356
27,0.27,0.552666409283212
28,0.28,0.552666409283212
29,0.29,0.552666409283212
30,0.3,0.552666409283212
31,0.31,0.5537728485410363
32,0.32,0.5537728485410363
33,0.33,0.5537728485410363
34,0.34,0.5537728485410363
35,0.35000000000000003,0.5537728485410363
36,0.36,0.5548815028924697
37,0.37,0.5548815028924697
38,0.38,0.5548815028924697
39,0.39,0.5548815028924697
40,0.4,0.5548815028924697
41,0.41000000000000003,0.5548815028924697
42,0.42,0.5548815028924697
43,0.43,0.5559923767721343
44,0.44,0.5559923767721343
45,0.45,0.5559923767721343
46,0.46,0.5559923767721343
47,0.47000000000000003,0.5559923767721343
48,0.48,0.5559923767721343
49,0.49,0.5559923767721343
50,0.5,0.55710547462353
51,0.51,0.55710547462353
52,0.52,0.55710547462353
53,0.53,0.55710547462353
54,0.54,0.55710547462353
55,0.55,0.5582208008990526
56,0.56,0.5582208008990526
57,0.5700000000000001,0.5582208008990526
58,0.58,0.5582208008990526
59,0.59,0.5593383600600117
60,0.6,0.5593383600600117
61,0.61,0.5593383600600117
62,0.62,0.5604581565766483
63,0.63,0.5615801949281531
64,0.64,0.5706377482658458
65,0.65,0.595114965364833
66,0.66,0.6107908632968063
67,0.67,0.6485600739157488
68,0.68,0.691424979692188
69,0.6900000000000001,0.7139084027524476
70,0.7000000000000001,0.811394773418487
71,0.71,0.8411371457701046
72,0.72,0.8478932335068007
73,0.73,0.852995887262035
74,0.74,0.8581292489818065
75,0.75,0.8667535942030656
76,0.76,0.9093724509848384
77,0.77,0.9166766107108517
78,0.78,0.9203506615813853
79,0.79,0.9240394380919555
80,0.8,0.9258893668969445
81,0.81,0.9296003426049725
82,0.8200000000000001,0.9314614043519295
83,0.8300000000000001,0.9351947128530309
84,0.84,0.9370669745404243
85,0.85,0.9427062792636958
86,0.86,0.9521806380555277
87,0.87,1.073580714485702
88,0.88,1.1583534406120801
89,0.89,1.343125819197041
90,0.9,1.5143701929944762
91,0.91,1.5480555285283155
92,0.92,1.6176907354257384
93,0.93,1.809407959671299
94,0.9400000000000001,1.8533590690324175
95,0.9500000000000001,1.8870215973671998
96,0.96,1.9328579672965904
97,0.97,2.060605230780113
98,0.98,2.3750055832673604
99,0.99,2.7047238859840874
100,1.0,12926.085180623193
