,cdf,SCHEDULE_ITERATION
0,0.0,0.029688317155319145
1,0.01,0.030531337525224085
2,0.02,0.031335562185376316
3,0.03,0.031650489926517374
4,0.04,0.03235451684009322
5,0.05,0.034081463790840066
6,0.06,0.03568582917052709
7,0.07,0.03858075951278698
8,0.08,0.042894933954175915
9,0.09,0.043936865887315185
10,0.1,0.0443784388785656
11,0.11,0.04491418839179008
12,0.12,0.04527494311404125
13,0.13,0.04554740944514214
14,0.14,0.04563859545003733
15,0.15,0.045821515488995365
16,0.16,0.0459132502547391
17,0.17,0.04609727111345461
18,0.18,0.046282029529983074
19,0.19,0.04637468624575882
20,0.2,0.04656055654547099
21,0.21,0.04684075974714052
22,0.22,0.04731151736665383
23,0.23,0.047501142496755494
24,0.24,0.04769152764665718
25,0.25,0.04778700618048432
26,0.26,0.04788267586252734
27,0.27,0.047978537075465344
28,0.28,0.047978537075465344
29,0.29,0.048074590202743524
30,0.3,0.048074590202743524
31,0.31,0.04817083562857485
32,0.32,0.04817083562857485
33,0.33,0.04826727373794137
34,0.34,0.04826727373794137
35,0.35000000000000003,0.04836390491659591
36,0.36,0.04836390491659591
37,0.37,0.04836390491659591
38,0.38,0.04846072955106357
39,0.39,0.04846072955106357
40,0.4,0.04846072955106357
41,0.41000000000000003,0.04846072955106357
42,0.42,0.04855774802864329
43,0.43,0.04855774802864329
44,0.44,0.04855774802864329
45,0.45,0.04865496073740934
46,0.46,0.04865496073740934
47,0.47000000000000003,0.04865496073740934
48,0.48,0.04865496073740934
49,0.49,0.048752368066212935
50,0.5,0.048752368066212935
51,0.51,0.048849970404683835
52,0.52,0.048849970404683835
53,0.53,0.048849970404683835
54,0.54,0.048947768143231755
55,0.55,0.048947768143231755
56,0.56,0.048947768143231755
57,0.5700000000000001,0.04904576167304804
58,0.58,0.04904576167304804
59,0.59,0.0491439513861072
60,0.6,0.0491439513861072
61,0.61,0.04924233767516848
62,0.62,0.04924233767516848
63,0.63,0.049340920933777434
64,0.64,0.049340920933777434
65,0.65,0.049439701556267444
66,0.66,0.04953867993776148
67,0.67,0.049637856474173424
68,0.68,0.049737231562209806
69,0.6900000000000001,0.0498368055993714
70,0.7000000000000001,0.05003655211505374
71,0.71,0.05013672539256133
72,0.72,0.050237099217171066
73,0.73,0.05033767399037862
74,0.74,0.05053942799259056
75,0.75,0.05064060802861177
76,0.76,0.05084357619408898
77,0.77,0.05114955477104179
78,0.78,0.051354562801178213
79,0.79,0.05156039250596276
80,0.8,0.05197453012580341
81,0.81,0.05228731482656824
82,0.8200000000000001,0.05291854260686045
83,0.8300000000000001,0.05387970117008953
84,0.84,0.05485831723948111
85,0.85,0.05619084365369968
86,0.86,0.05871844098561578
87,0.87,0.06450571763099099
88,0.88,0.07128984555170034
89,0.89,0.07419924033004482
90,0.9,0.07691907721635559
91,0.91,0.08037907962428716
92,0.92,0.08266149937489078
93,0.93,0.0870736197905706
94,0.9400000000000001,0.08954613565533923
95,0.9500000000000001,0.09227322240679375
96,0.96,0.09995839119153355
97,0.97,0.11135842434829211
98,0.98,0.12989859383642063
99,0.99,0.49608860273352784
100,1.0,13.026690338231735
