,cdf,ATTN_COMPUTATION
0,0.0,0.0369939238904306
1,0.01,0.03889064357572196
2,0.02,0.04121299898680164
3,0.03,0.042468122088452895
4,0.04,0.044289770669018014
5,0.05,0.0459132502547391
6,0.06,0.0469345350419296
7,0.07,0.04788267586252734
8,0.08,0.048947768143231755
9,0.09,0.049737231562209806
10,0.1,0.05114955477104179
11,0.11,0.05166361651498372
12,0.12,0.05313064076149899
13,0.13,0.06074919586328281
14,0.14,0.06476425732235798
15,0.15,0.06528444954888389
16,0.16,0.06580882000525025
17,0.17,0.06876905671012956
18,0.18,0.07015828427577232
19,0.19,0.07072180180250003
20,0.2,0.07143256796521726
21,0.21,0.07331417019270454
22,0.22,0.07405099009961516
23,0.23,0.07464577418282689
24,0.24,0.07554691983358185
25,0.25,0.07615371935634636
26,0.26,0.07800351803209372
27,0.27,0.08070123994125794
28,0.28,0.08216701514994046
29,0.29,0.08315895942472995
30,0.3,0.08483888240593303
31,0.31,0.09282852617171974
32,0.32,0.09470378742445622
33,0.33,0.09896378825113258
34,0.34,0.11406335678801822
35,0.35000000000000003,0.1286060808033118
36,0.36,0.13903895161423085
37,0.37,0.15122278537476527
38,0.38,0.1996876192952873
39,0.39,0.2292365151883339
40,0.4,0.23433560454339966
41,0.41000000000000003,0.23669071731179986
42,0.42,0.23811513105847537
43,0.43,0.23906949936495386
44,0.44,0.24002769279107247
45,0.45,0.2409897266679567
46,0.46,0.24195561638817922
47,0.47000000000000003,0.24244001201658402
48,0.48,0.24341171449791046
49,0.49,0.24389902523764606
50,0.5,0.24487657546149416
51,0.51,0.24487657546149416
52,0.52,0.2453668188558114
53,0.53,0.24585804371838563
54,0.54,0.24635025201411817
55,0.55,0.24684344571184408
56,0.56,0.24733762678434026
57,0.5700000000000001,0.24733762678434026
58,0.58,0.24783279720833296
59,0.59,0.24832895896450582
60,0.6,0.2488261140375078
61,0.61,0.24932426441596126
62,0.62,0.2498234120924697
63,0.63,0.2503235590636258
64,0.64,0.25082470733001944
65,0.65,0.25183001577091285
66,0.66,0.2528393535001172
67,0.67,0.2543609503540895
68,0.68,0.2548701814859296
69,0.6900000000000001,0.25589170423585045
70,0.7000000000000001,0.2564039999400263
71,0.71,0.2569173212612275
72,0.72,0.2574316702527415
73,0.73,0.2579470489719662
74,0.74,0.2589809038437427
75,0.75,0.2600189024182682
76,0.76,0.2615837060709274
77,0.77,0.2631579267715344
78,0.78,0.264741621192242
79,0.79,0.26527163444788204
80,0.8,0.2663348463462585
81,0.81,0.26686804924184654
82,0.8200000000000001,0.2674023196106991
83,0.8300000000000001,0.2679376595898997
84,0.84,0.2690115569490803
85,0.85,0.26955011862465406
86,0.86,0.2706304787390213
87,0.87,0.27171516894970854
88,0.88,0.2733503611795853
89,0.89,0.2760975789022836
90,0.9,0.27775914464207613
91,0.91,0.27887240663136104
92,0.92,0.279990130588076
93,0.93,0.2805506713900541
94,0.9400000000000001,0.28223903600995
95,0.9500000000000001,0.28507558642977704
96,0.96,0.292584750298696
97,0.97,0.29611691910657956
98,0.98,0.3002917127329587
99,0.99,0.30270368225306477
100,1.0,43.42349946955025
