,cdf,TOTAL_ATTN_COMPUTATION
0,0.0,0.12631188033146398
1,0.01,0.1379310770389864
2,0.02,0.14156431365904817
3,0.03,0.16316372991267478
4,0.04,0.1899487360163596
5,0.05,0.22246155006612653
6,0.06,0.23433560454339966
7,0.07,0.237639376550866
8,0.08,0.24050822871257613
9,0.09,0.24341171449791046
10,0.1,0.2453668188558114
11,0.11,0.24783279720833296
12,0.12,0.24932426441596126
13,0.13,0.25132685889624573
14,0.14,0.26686804924184654
15,0.15,0.27720418131611796
16,0.16,0.28111233439584005
17,0.17,0.28450600483850874
18,0.18,0.2867911821606278
19,0.19,0.28967348242518703
20,0.2,0.2920001653830144
21,0.21,0.29493481681683503
22,0.22,0.29670974577145753
23,0.23,0.2990929446170268
24,0.24,0.30149528552590366
25,0.25,0.3045253645356131
26,0.26,0.31695328464957695
27,0.27,0.32988839797746117
28,0.28,0.3332038326069433
29,0.29,0.3365525879195709
30,0.3,0.33857797420491603
31,0.31,0.33993499879388905
32,0.32,0.3412974623537207
33,0.33,0.341980740556631
34,0.34,0.3433514034740295
35,0.35000000000000003,0.34403879367117474
36,0.36,0.34472756002487076
37,0.37,0.34541770529018584
38,0.38,0.3461092322277037
39,0.39,0.3468021436035349
40,0.4,0.3474964421893278
41,0.41000000000000003,0.3474964421893278
42,0.42,0.3481921307622794
43,0.43,0.34888921210514684
44,0.44,0.34888921210514684
45,0.45,0.3495876890062582
46,0.46,0.350287564259524
47,0.47000000000000003,0.350287564259524
48,0.48,0.35098884066444797
49,0.49,0.3516915210261385
50,0.5,0.3516915210261385
51,0.51,0.35239560815532
52,0.52,0.3531011048683437
53,0.53,0.3545163383395259
54,0.54,0.35522608075862405
55,0.55,0.35593724408346616
56,0.56,0.35664983115870835
57,0.5700000000000001,0.3573638448347018
58,0.58,0.358079287967504
59,0.59,0.3587961634188904
60,0.6,0.35951447405636566
61,0.61,0.35951447405636566
62,0.62,0.3602342227531751
63,0.63,0.3616780458465515
64,0.64,0.36312765580023515
65,0.65,0.3645830758080317
66,0.66,0.3653129718556954
67,0.67,0.3660443291567078
68,0.68,0.366777150636501
69,0.6900000000000001,0.3675114392263639
70,0.7000000000000001,0.36824719786345367
71,0.71,0.36898442949080795
72,0.72,0.3697231370573561
73,0.73,0.3704633235179314
74,0.74,0.37120499183328265
75,0.75,0.371948144970086
76,0.76,0.37418654306513205
77,0.77,0.37719204237942566
78,0.78,0.37870383261762963
79,0.79,0.3802216821292739
80,0.8,0.38098288669810126
81,0.81,0.3817456151999994
82,0.8200000000000001,0.3848118296483327
83,0.8300000000000001,0.3910183406747068
84,0.84,0.39494814164795633
85,0.85,0.3981203999530817
86,0.86,0.4005163036748911
87,0.87,0.40292662603650115
88,0.88,0.4094253050131861
89,0.89,0.4261342743665225
90,0.9,0.44977817314040464
91,0.91,0.477590911630712
92,0.92,0.49213572518622073
93,0.93,0.5132456377781558
94,0.9400000000000001,0.5267650192423886
95,0.9500000000000001,0.5428074078345082
96,0.96,0.5694976129046753
97,0.97,0.6144666259625539
98,0.98,0.684545183912454
99,0.99,0.768741445547072
100,1.0,486.3855209058114
