,cdf,EXPERT_COMPUTATION
0,0.0,0.09955935609599359
1,0.01,0.15551686131708756
2,0.02,0.2679376595898997
3,0.03,0.3365525879195709
4,0.04,0.3832756562127839
5,0.05,0.43300726232790815
6,0.06,0.43999110258716995
7,0.07,0.4453028040573186
8,0.08,0.45067862994348856
9,0.09,0.451580889462895
10,0.1,0.45248495530766547
11,0.11,0.4533908310940673
12,0.12,0.4552080269930455
13,0.13,0.4882143445143063
14,0.14,0.49608860273352784
15,0.15,0.49708177310937074
16,0.16,0.4980769318142944
17,0.17,0.4990740828289376
18,0.18,0.4990740828289376
19,0.19,0.4990740828289376
20,0.2,0.5000732301419085
21,0.21,0.5000732301419085
22,0.22,0.5000732301419085
23,0.23,0.5010743777498001
24,0.24,0.5030826898767411
25,0.25,0.5040898624290469
26,0.26,0.5050990513428187
27,0.27,0.5050990513428187
28,0.28,0.5050990513428187
29,0.29,0.5061102606548165
30,0.3,0.5061102606548165
31,0.31,0.5061102606548165
32,0.32,0.5061102606548165
33,0.33,0.5061102606548165
34,0.34,0.5071234944098811
35,0.35000000000000003,0.5071234944098811
36,0.36,0.5071234944098811
37,0.37,0.5071234944098811
38,0.38,0.5071234944098811
39,0.39,0.5071234944098811
40,0.4,0.5071234944098811
41,0.41000000000000003,0.5071234944098811
42,0.42,0.5071234944098811
43,0.43,0.508138756660952
44,0.44,0.508138756660952
45,0.45,0.508138756660952
46,0.46,0.508138756660952
47,0.47000000000000003,0.508138756660952
48,0.48,0.508138756660952
49,0.49,0.508138756660952
50,0.5,0.508138756660952
51,0.51,0.508138756660952
52,0.52,0.508138756660952
53,0.53,0.5091560514690819
54,0.54,0.5091560514690819
55,0.55,0.5091560514690819
56,0.56,0.5091560514690819
57,0.5700000000000001,0.5091560514690819
58,0.58,0.5091560514690819
59,0.59,0.5091560514690819
60,0.6,0.5091560514690819
61,0.61,0.5101753829034544
62,0.62,0.5101753829034544
63,0.63,0.5101753829034544
64,0.64,0.5101753829034544
65,0.65,0.5111967550413993
66,0.66,0.5111967550413993
67,0.67,0.5111967550413993
68,0.68,0.5132456377781558
69,0.6900000000000001,0.5593383600600117
70,0.7000000000000001,0.735650157800279
71,0.71,0.7733677608293648
72,0.72,0.778021917453132
73,0.73,0.7827040829686267
74,0.74,0.7874144259344256
75,0.75,0.7937390080474679
76,0.76,0.837779316203986
77,0.77,0.844508433557472
78,0.78,0.8478932335068007
79,0.79,0.8512915997749979
80,0.8,0.852995887262035
81,0.81,0.8547035867360331
82,0.8200000000000001,0.8581292489818065
83,0.8300000000000001,0.8598472254562445
84,0.84,0.8632935034678146
85,0.85,0.8650218187900726
86,0.86,0.87022755302356
87,0.87,0.9314614043519295
88,0.88,1.0090401202805528
89,0.89,1.2349118244605763
90,0.9,1.4176486464370954
91,0.91,1.4491825280105957
92,0.92,1.5174019651526234
93,0.93,1.5511547387956395
94,0.9400000000000001,1.752423499915616
95,0.9500000000000001,1.7735792697166217
96,0.96,1.809407959671299
97,0.97,1.9212955376149912
98,0.98,2.227767063492454
99,0.99,2.5067818682931438
100,1.0,12569.174740607621
