,cdf,PRE_ATTN_PROJECTION
0,0.0,0.021818396803331926
1,0.01,0.023730319444339266
2,0.02,0.024113058429846207
3,0.03,0.024501970494117235
4,0.04,0.025046987228567425
5,0.05,0.02555297010457077
6,0.06,0.026542668476635518
7,0.07,0.026809426819050193
8,0.08,0.026970766970177622
9,0.09,0.02702476249964745
10,0.1,0.027078866128275373
11,0.11,0.027078866128275373
12,0.12,0.02718739854909769
13,0.13,0.02718739854909769
14,0.14,0.02724182777542221
15,0.15,0.02724182777542221
16,0.16,0.027296365969166802
17,0.17,0.027351013348484454
18,0.18,0.027351013348484454
19,0.19,0.027405770131964907
20,0.2,0.027405770131964907
21,0.21,0.027460636538635508
22,0.22,0.027460636538635508
23,0.23,0.027515612787962093
24,0.24,0.027570699099849907
25,0.25,0.027570699099849907
26,0.26,0.027625895694644402
27,0.27,0.027681202793132183
28,0.28,0.02773662061654186
29,0.29,0.02773662061654186
30,0.3,0.02779214938654495
31,0.31,0.027847789325256753
32,0.32,0.027847789325256753
33,0.33,0.027959403599491964
34,0.34,0.027959403599491964
35,0.35000000000000003,0.028015378381472934
36,0.36,0.028071465225079487
37,0.37,0.028071465225079487
38,0.38,0.02812766435465923
39,0.39,0.028183975995008898
40,0.4,0.028183975995008898
41,0.41000000000000003,0.028240400371375287
42,0.42,0.028296937709456103
43,0.43,0.028296937709456103
44,0.44,0.028353588235400958
45,0.45,0.028353588235400958
46,0.46,0.028410352175812174
47,0.47000000000000003,0.028410352175812174
48,0.48,0.028467229757745738
49,0.49,0.028467229757745738
50,0.5,0.028524221208712196
51,0.51,0.028524221208712196
52,0.52,0.028524221208712196
53,0.53,0.02858132675667759
54,0.54,0.02858132675667759
55,0.55,0.028638546630064335
56,0.56,0.028695881057752136
57,0.5700000000000001,0.028695881057752136
58,0.58,0.028753330269078968
59,0.59,0.02881089449384189
60,0.6,0.02881089449384189
61,0.61,0.028868573962298034
62,0.62,0.028926368905165502
63,0.63,0.028984279553624294
64,0.64,0.02904230613931724
65,0.65,0.029158708051296542
66,0.66,0.02927557650353776
67,0.67,0.029510720515896368
68,0.68,0.031148111663696996
69,0.6900000000000001,0.033008121656235595
70,0.7000000000000001,0.0589537852026481
71,0.71,0.06002456177152037
72,0.72,0.06026514093635693
73,0.73,0.060506684345376996
74,0.74,0.06062781884857096
75,0.75,0.06074919586328281
76,0.76,0.06087081587502112
77,0.77,0.06099267937026638
78,0.78,0.06111478683647312
79,0.79,0.06123713876207167
80,0.8,0.06123713876207167
81,0.81,0.061359735636470215
82,0.8200000000000001,0.06148257795005675
83,0.8300000000000001,0.06160566619420101
84,0.84,0.061729000861256475
85,0.85,0.061852582444562265
86,0.86,0.062100488338221946
87,0.87,0.06259928493734322
88,0.88,0.07128984555170034
89,0.89,0.0851789176660417
90,0.9,0.10157058917847128
91,0.91,0.10635196646532799
92,0.92,0.11158136413677716
93,0.93,0.11338102546082132
94,0.9400000000000001,0.12233388619092724
95,0.9500000000000001,0.13439108714188872
96,0.96,0.14558413059383216
97,0.97,0.14912041659875017
98,0.98,0.15834151134745428
99,0.99,0.1873079812474624
100,1.0,338.66162131505564
