,cdf,POST_ATTN_PROJECTION
0,0.0,0.0364067309824493
1,0.01,0.04455630819484311
2,0.02,0.04500410668686874
3,0.03,0.04536558364079609
4,0.04,0.04554740944514214
5,0.05,0.045729964009496867
6,0.06,0.0459132502547391
7,0.07,0.04600516867366751
8,0.08,0.04618955794251058
9,0.09,0.046282029529983074
10,0.1,0.046467528460465056
11,0.11,0.04656055654547099
12,0.12,0.046653770872889355
13,0.13,0.046747171815577804
14,0.14,0.04684075974714052
15,0.15,0.0469345350419296
16,0.16,0.047028498075046575
17,0.17,0.04712264922234397
18,0.18,0.047216988860426745
19,0.19,0.047216988860426745
20,0.2,0.0474062351191396
21,0.21,0.0474062351191396
22,0.22,0.047501142496755494
23,0.23,0.04759623987913139
24,0.24,0.04769152764665718
25,0.25,0.04778700618048432
26,0.26,0.04788267586252734
27,0.27,0.047978537075465344
28,0.28,0.048074590202743524
29,0.29,0.04817083562857485
30,0.3,0.04817083562857485
31,0.31,0.04826727373794137
32,0.32,0.04836390491659591
33,0.33,0.04846072955106357
34,0.34,0.04855774802864329
35,0.35000000000000003,0.04865496073740934
36,0.36,0.048752368066212935
37,0.37,0.048849970404683835
38,0.38,0.048947768143231755
39,0.39,0.04904576167304804
40,0.4,0.0491439513861072
41,0.41000000000000003,0.04924233767516848
42,0.42,0.049340920933777434
43,0.43,0.049439701556267444
44,0.44,0.04953867993776148
45,0.45,0.049637856474173424
46,0.46,0.049737231562209806
47,0.47000000000000003,0.0498368055993714
48,0.48,0.049936578983954726
49,0.49,0.05013672539256133
50,0.5,0.050237099217171066
51,0.51,0.05043845011448348
52,0.52,0.05053942799259056
53,0.53,0.050741990627267655
54,0.54,0.05084357619408898
55,0.55,0.05104735785841233
56,0.56,0.05125195628209493
57,0.5700000000000001,0.05145737473871811
58,0.58,0.05166361651498372
59,0.59,0.05197453012580341
60,0.6,0.05228731482656824
61,0.61,0.05260198187756881
62,0.62,0.053024485635102384
63,0.63,0.053557390753811995
64,0.64,0.05453015270475353
65,0.65,0.05675557121020511
66,0.66,0.07661201533830812
67,0.67,0.07894519935012845
68,0.68,0.08037907962428716
69,0.6900000000000001,0.08118690307520607
70,0.7000000000000001,0.08200284528950101
71,0.71,0.0828269878621278
72,0.72,0.08382689952081433
73,0.73,0.09080859859575041
74,0.74,0.09320058402004541
75,0.75,0.09527371842218063
76,0.76,0.09661693148015252
77,0.77,0.09778331937746845
78,0.78,0.09856872362245006
79,0.79,0.09955935609599359
80,0.8,0.10076126580515044
81,0.81,0.1023864131085028
82,0.8200000000000001,0.1046638751819251
83,0.8300000000000001,0.107851365800874
84,0.84,0.11660055836745689
85,0.85,0.1280926837875271
86,0.86,0.1360134957109461
87,0.87,0.14099918722241173
88,0.88,0.14763664317007683
89,0.89,0.153354794320592
90,0.9,0.16283772845430777
91,0.91,0.16712703011749017
92,0.92,0.17569581911394808
93,0.93,0.18470393946700464
94,0.9400000000000001,0.1922418527962633
95,0.9500000000000001,0.20129152786438959
96,0.96,0.2120356163010872
97,0.97,0.21980796394052537
98,0.98,0.2453668188558114
99,0.99,0.3531011048683437
100,1.0,172.94977210121453
