,cdf,PRE_ATTN_PROJECTION
0,0.0,0.23954811698130016
1,0.01,0.4417545922132812
2,0.02,0.44263898579128574
3,0.03,0.4435251499270041
4,0.04,0.44441308816509617
5,0.05,0.4453028040573186
6,0.06,0.4453028040573186
7,0.07,0.5763727549016947
8,0.08,0.581002231700739
9,0.09,0.5821653993317715
10,0.1,0.58333089562673
11,0.11,0.58333089562673
12,0.12,0.5856688928657175
13,0.13,0.586841403161745
14,0.14,0.7702804674600792
15,0.15,0.7749160446348289
16,0.16,0.7764674281075713
17,0.17,0.778021917453132
18,0.18,0.7795795188894746
19,0.19,0.7811402386470111
20,0.2,0.7905703924151583
21,0.21,0.795328075130646
22,0.22,0.7969203235293059
23,0.23,0.7985157596124476
24,0.24,0.8001143897618219
25,0.25,0.8001143897618219
26,0.26,0.8017162203719557
27,0.27,0.8277860406508232
28,0.28,0.8327676885540478
29,0.29,0.8344348911337356
30,0.3,0.8361054314563258
31,0.31,0.8361054314563258
32,0.32,0.8394565520722623
33,0.33,1.0090401202805528
34,0.34,1.0130843652072836
35,0.35000000000000003,1.0151125621346255
36,0.36,1.0171448195162764
37,0.37,1.0171448195162764
38,0.38,1.019181145481274
39,0.39,1.0212215481749303
40,0.4,1.0232660357588639
41,0.41000000000000003,1.0232660357588639
42,0.42,1.0232660357588639
43,0.43,1.0232660357588639
44,0.44,1.0253146164110338
45,0.45,1.0294240897138103
46,0.46,1.2349118244605763
47,0.47000000000000003,1.2373841204054425
48,0.48,1.2398613658917395
49,0.49,1.2423435708284598
50,0.5,1.2423435708284598
51,0.51,1.2448307451444325
52,0.52,1.2448307451444325
53,0.53,1.2473228987883653
54,0.54,1.2473228987883653
55,0.55,1.2473228987883653
56,0.56,1.2473228987883653
57,0.5700000000000001,1.2498200417288827
58,0.58,1.2498200417288827
59,0.59,1.2498200417288827
60,0.6,1.2523221839545662
61,0.61,1.2523221839545662
62,0.62,1.2548293354739948
63,0.63,1.2548293354739948
64,0.64,1.2548293354739948
65,0.65,1.262380946181339
66,0.66,1.280178578089982
67,0.67,1.285309549213618
68,0.68,1.287882741504336
69,0.6900000000000001,1.2930445910075101
70,0.7000000000000001,1.2930445910075101
71,0.71,1.295633268867385
72,0.72,1.3404422511267173
73,0.73,1.343125819197041
74,0.74,1.3485090836194094
75,0.75,1.3512088015045334
76,0.76,1.3512088015045334
77,0.77,1.3512088015045334
78,0.78,1.3539139242302682
79,0.79,1.3539139242302682
80,0.8,1.3539139242302682
81,0.81,1.3539139242302682
82,0.8200000000000001,1.3539139242302682
83,0.8300000000000001,1.3566244626171156
84,0.84,1.3566244626171156
85,0.85,1.3593404275072398
86,0.86,1.3593404275072398
87,0.87,1.3620618297645117
88,0.88,1.3647886802745508
89,0.89,1.3647886802745508
90,0.9,1.36752098994477
91,0.91,1.3702587697044193
92,0.92,1.3730020305046284
93,0.93,1.3757507833184515
94,0.9400000000000001,1.3812648089890407
95,0.9500000000000001,1.3840301039019316
96,0.96,1.3923592497518447
97,0.97,1.400738520718541
98,0.98,49.55091867664183
99,0.99,52.93161635500444
100,1.0,59.44198897043598
