,cdf,TOTAL_ATTN_COMPUTATION
0,0.0,0.9003240409125307
1,0.01,1.624174459331529
2,0.02,1.627426059850711
3,0.03,1.633948803053777
4,0.04,1.6372199718286593
5,0.05,1.6437819691486164
6,0.06,1.6470728239417067
7,0.07,2.060605230780113
8,0.08,2.081314664581684
9,0.09,2.093840095460673
10,0.1,2.1064409048594865
11,0.11,2.1064409048594865
12,0.12,2.114883545317199
13,0.13,2.1361384854316605
14,0.14,2.7926747890840047
15,0.15,2.8094812122709563
16,0.16,2.8151057992825095
17,0.17,2.8151057992825095
18,0.18,2.8263887771524017
19,0.19,2.8320472131426966
20,0.2,2.8377169773331725
21,0.21,2.8433980924029085
22,0.22,2.854794466123588
23,0.23,2.8605097703600717
24,0.24,2.8662365166470787
25,0.25,2.871974727891617
26,0.26,2.8777244270465556
27,0.27,2.953526443497399
28,0.28,2.9832098876860953
29,0.29,2.9951666287622514
30,0.3,2.9951666287622514
31,0.31,3.001162958349363
32,0.32,3.013191655548461
33,0.33,3.6219042701345794
34,0.34,3.643701027904027
35,0.35000000000000003,3.6583050254066505
36,0.36,3.6656289593914484
37,0.37,3.680320844306961
38,0.38,3.6876888540052732
39,0.39,3.695071614473752
40,0.4,3.7024691552434694
41,0.41000000000000003,3.7098815059046175
42,0.42,3.7173086961066284
43,0.43,3.724750755558294
44,0.44,3.7322077140278798
45,0.45,3.739679601343251
46,0.46,4.388554900259019
47,0.47000000000000003,4.4238041602549165
48,0.48,4.432660625040211
49,0.49,4.441534820485737
50,0.5,4.459336545415816
51,0.51,4.459336545415816
52,0.52,4.468264146107338
53,0.53,4.477209619873319
54,0.54,4.486173002495688
55,0.55,4.495154329828011
56,0.56,4.495154329828011
57,0.5700000000000001,4.5041536377956355
58,0.58,4.513170962395828
59,0.59,4.513170962395828
60,0.6,4.522206339697921
61,0.61,4.531259805843462
62,0.62,4.540331397046352
63,0.63,4.549421149592992
64,0.64,4.567655284226496
65,0.65,4.585962501490713
66,0.66,4.595143607599803
67,0.67,4.6135609983944015
68,0.68,4.641325584103023
69,0.6900000000000001,4.659928072814369
70,0.7000000000000001,4.669257258145329
71,0.71,4.669257258145329
72,0.72,4.735086611969632
73,0.73,4.754064896007301
74,0.74,4.7731192452354385
75,0.75,4.782675039520193
76,0.76,4.792249964524238
77,0.77,4.801844058547309
78,0.78,4.801844058547309
79,0.79,4.811457359965823
80,0.8,4.811457359965823
81,0.81,4.821089907233021
82,0.8200000000000001,4.830741738879134
83,0.8300000000000001,4.830741738879134
84,0.84,4.830741738879134
85,0.85,4.840412893511524
86,0.86,4.840412893511524
87,0.87,4.850103409814849
88,0.88,4.859813326551216
89,0.89,4.859813326551216
90,0.9,4.859813326551216
91,0.91,4.869542682560328
92,0.92,4.87929151675965
93,0.93,4.889059868144551
94,0.9400000000000001,4.898847775788485
95,0.9500000000000001,4.898847775788485
96,0.96,4.908655278843117
97,0.97,4.95798810108071
98,0.98,65.30057834625956
99,0.99,73.77359923544194
100,1.0,82.18731485603398
