,cdf,TOTAL_EXPERT_COMPUTATION
0,0.0,3.636420905970153
1,0.01,6.019475313722949
2,0.02,6.153371270351273
3,0.03,6.190402492891106
4,0.04,6.31545696065555
5,0.05,6.366183267938592
6,0.06,6.4173170133954045
7,0.07,8.141709734075786
8,0.08,8.339474518405492
9,0.09,8.42328765878727
10,0.1,8.490944248132271
11,0.11,8.542043073834684
12,0.12,8.576279685115974
13,0.13,8.67981504559025
14,0.14,11.189773770435789
15,0.15,11.30223290413684
16,0.16,11.347532389424481
17,0.17,11.347532389424481
18,0.18,11.438676770342003
19,0.19,11.484523124284905
20,0.2,11.507515162571764
21,0.21,11.530553230965298
22,0.22,11.62316765142312
23,0.23,11.69311631679807
24,0.24,11.76348593590392
25,0.25,11.834279042056252
26,0.26,11.929333015015049
27,0.27,12.04922484518274
28,0.28,12.146005281788831
29,0.29,12.170321608679302
30,0.3,12.317245296001355
31,0.31,12.366612963151994
32,0.32,12.465942689112822
33,0.33,13.000662984908592
34,0.34,15.044318380426558
35,0.35000000000000003,15.10461618926814
36,0.36,15.134855661118525
37,0.37,15.165155672452096
38,0.38,15.225937798612097
39,0.39,15.256420156567279
40,0.4,15.286963540264109
41,0.41000000000000003,15.317568071876252
42,0.42,15.348233873821947
43,0.43,15.378961068764536
44,0.44,15.440600129522046
45,0.45,15.502486240375733
46,0.46,15.564620391505342
47,0.47000000000000003,18.119713073016925
48,0.48,18.228758196037194
49,0.49,18.301819277924036
50,0.5,18.375173189504977
51,0.51,18.375173189504977
52,0.52,18.448821104444963
53,0.53,18.522764201112988
54,0.54,18.559846812126228
55,0.55,18.597003662600944
56,0.56,18.597003662600944
57,0.5700000000000001,18.63423490116471
58,0.58,18.63423490116471
59,0.59,18.708921138557923
60,0.6,18.783906719288037
61,0.61,18.783906719288037
62,0.62,18.821512138145472
63,0.63,18.859192843126735
64,0.64,18.89694898495482
65,0.65,18.972688183552638
66,0.66,19.01067154327947
67,0.67,19.08686654325755
68,0.68,19.125078488289084
69,0.6900000000000001,19.201732032677477
70,0.7000000000000001,19.27869280539285
71,0.71,19.27869280539285
72,0.72,19.317288786985227
73,0.73,19.355962037810027
74,0.74,19.394712712560388
75,0.75,19.43354096623919
76,0.76,19.472446954159587
77,0.77,19.511430831945695
78,0.78,19.62885136541647
79,0.79,19.668148365147022
80,0.8,19.707524037549717
81,0.81,19.746978540127397
82,0.8200000000000001,19.786512030698223
83,0.8300000000000001,19.82612466739632
84,0.84,19.865816608672393
85,0.85,19.865816608672393
86,0.86,19.905588013294363
87,0.87,19.905588013294363
88,0.88,19.945439040347992
89,0.89,19.945439040347992
90,0.9,19.945439040347992
91,0.91,19.985369849237582
92,0.92,20.025380599686507
93,0.93,20.06547145173793
94,0.9400000000000001,20.06547145173793
95,0.9500000000000001,20.145894102423608
96,0.96,20.145894102423608
97,0.97,20.186226222748783
98,0.98,34.226516423303046
99,0.99,37.449775214686134
100,1.0,394.2564131162876
