,cdf,WORKER_ITERATION
0,0.0,712.6580340100571
1,0.01,712.6580340100571
2,0.02,712.6580340100571
3,0.03,712.6580340100571
4,0.04,712.6580340100571
5,0.05,712.6580340100571
6,0.06,712.6580340100571
7,0.07,712.6580340100571
8,0.08,1029.6784132574926
9,0.09,1029.6784132574926
10,0.1,1029.6784132574926
11,0.11,1029.6784132574926
12,0.12,1029.6784132574926
13,0.13,1029.6784132574926
14,0.14,1029.6784132574926
15,0.15,1198.7107257615971
16,0.16,1198.7107257615971
17,0.17,1198.7107257615971
18,0.18,1198.7107257615971
19,0.19,1198.7107257615971
20,0.2,1198.7107257615971
21,0.21,1198.7107257615971
22,0.22,1338.0945450550041
23,0.23,1338.0945450550041
24,0.24,1338.0945450550041
25,0.25,1338.0945450550041
26,0.26,1338.0945450550041
27,0.27,1338.0945450550041
28,0.28,1338.0945450550041
29,0.29,1378.8456045988617
30,0.3,1378.8456045988617
31,0.31,1378.8456045988617
32,0.32,1378.8456045988617
33,0.33,1378.8456045988617
34,0.34,1378.8456045988617
35,0.35000000000000003,1378.8456045988617
36,0.36,1694.261070805029
37,0.37,1694.261070805029
38,0.38,1694.261070805029
39,0.39,1694.261070805029
40,0.4,1694.261070805029
41,0.41000000000000003,1694.261070805029
42,0.42,1694.261070805029
43,0.43,1980.296837407514
44,0.44,1980.296837407514
45,0.45,1980.296837407514
46,0.46,1980.296837407514
47,0.47000000000000003,1980.296837407514
48,0.48,1980.296837407514
49,0.49,1980.296837407514
50,0.5,1992.2143391572147
51,0.51,1992.2143391572147
52,0.52,1992.2143391572147
53,0.53,1992.2143391572147
54,0.54,1992.2143391572147
55,0.55,1992.2143391572147
56,0.56,1992.2143391572147
57,0.5700000000000001,1992.2143391572147
58,0.58,1996.2027562526248
59,0.59,1996.2027562526248
60,0.6,1996.2027562526248
61,0.61,1996.2027562526248
62,0.62,1996.2027562526248
63,0.63,1996.2027562526248
64,0.64,1996.2027562526248
65,0.65,2028.3988933331352
66,0.66,2028.3988933331352
67,0.67,2028.3988933331352
68,0.68,2028.3988933331352
69,0.6900000000000001,2028.3988933331352
70,0.7000000000000001,2028.3988933331352
71,0.71,2028.3988933331352
72,0.72,2032.459751978447
73,0.73,2032.459751978447
74,0.74,2032.459751978447
75,0.75,2032.459751978447
76,0.76,2032.459751978447
77,0.77,2032.459751978447
78,0.78,2032.459751978447
79,0.79,2069.375282883096
80,0.8,2069.375282883096
81,0.81,2069.375282883096
82,0.8200000000000001,2069.375282883096
83,0.8300000000000001,2069.375282883096
84,0.84,2069.375282883096
85,0.85,2069.375282883096
86,0.86,2077.669363882547
87,0.87,2077.669363882547
88,0.88,2077.669363882547
89,0.89,2077.669363882547
90,0.9,2077.669363882547
91,0.91,2077.669363882547
92,0.92,2077.669363882547
93,0.93,2085.996687658305
94,0.9400000000000001,2085.996687658305
95,0.9500000000000001,2085.996687658305
96,0.96,2085.996687658305
97,0.97,2085.996687658305
98,0.98,2085.996687658305
99,0.99,2085.996687658305
100,1.0,2166.7899385977967
