,cdf,EXPERT_COMPUTATION
0,0.0,3.431508330434275
1,0.01,5.646297818369505
2,0.02,5.771892892424462
3,0.03,5.818253245173273
4,0.04,5.9476732599696325
5,0.05,5.995445496133053
6,0.06,6.043601443110486
7,0.07,7.698305042926664
8,0.08,7.838129222691577
9,0.09,7.869544538799241
10,0.1,7.9327534145685865
11,0.11,7.980493026586462
12,0.12,8.060698341786706
13,0.13,8.109207931246944
14,0.14,10.538131865064955
15,0.15,10.686703334324303
16,0.16,10.729535769699918
17,0.17,10.751016321791406
18,0.18,10.77253987799119
19,0.19,10.859065868346937
20,0.2,10.902589134830023
21,0.21,10.924416140104958
22,0.22,10.968201331262502
23,0.23,11.034208384390714
24,0.24,11.078433624182619
25,0.25,11.10061267047728
26,0.26,11.167416580085268
27,0.27,11.415822271300364
28,0.28,11.484523124284905
29,0.29,11.530553230965298
30,0.3,11.646437256330875
31,0.31,11.716525959073945
32,0.32,11.81063412888531
33,0.33,11.90549818381622
34,0.34,14.224991535955198
35,0.35000000000000003,14.28200547295909
36,0.36,14.310598076508555
37,0.37,14.367955125555637
38,0.38,14.4255420623445
39,0.39,14.454422026433278
40,0.4,14.512355523599844
41,0.41000000000000003,14.541409288411858
42,0.42,14.57052121891919
43,0.43,14.599691431569676
44,0.44,14.658207170257596
45,0.45,14.716957440729296
46,0.46,14.775943182990996
47,0.47000000000000003,17.167197616966856
48,0.48,17.23600395129705
49,0.49,17.33973087918344
50,0.5,17.40922872890176
51,0.51,17.444082039670334
52,0.52,17.479005126836842
53,0.53,17.549061189413283
54,0.54,17.584194445047736
55,0.55,17.619398037530317
56,0.56,17.654672107675523
57,0.5700000000000001,17.654672107675523
58,0.58,17.69001679657978
59,0.59,17.72543224562198
60,0.6,17.796475991051587
61,0.61,17.832104571614245
62,0.62,17.867804480666525
63,0.63,17.867804480666525
64,0.64,17.939418855724938
65,0.65,17.97533360818885
66,0.66,18.0113202620591
67,0.67,18.0113202620591
68,0.68,18.047378961282448
69,0.6900000000000001,18.119713073016925
70,0.7000000000000001,18.15598877486481
71,0.71,18.228758196037194
72,0.72,18.301819277924036
73,0.73,18.33845955675871
74,0.74,18.375173189504977
75,0.75,18.4119603230175
76,0.76,18.448821104444963
77,0.77,18.48575568123064
78,0.78,18.559846812126228
79,0.79,18.671540676742623
80,0.8,18.708921138557923
81,0.81,18.708921138557923
82,0.8200000000000001,18.746376436132614
83,0.8300000000000001,18.746376436132614
84,0.84,18.821512138145472
85,0.85,18.821512138145472
86,0.86,18.859192843126735
87,0.87,18.89694898495482
88,0.88,18.89694898495482
89,0.89,18.93478071465443
90,0.9,18.93478071465443
91,0.91,18.93478071465443
92,0.92,18.972688183552638
93,0.93,19.01067154327947
94,0.9400000000000001,19.048730945768522
95,0.9500000000000001,19.08686654325755
96,0.96,19.125078488289084
97,0.97,19.163366933711085
98,0.98,22.714433081311974
99,0.99,26.923529251938415
100,1.0,386.4496105029325
