,cdf,POST_ATTN_PROJECTION
0,0.0,0.3214218390185988
1,0.01,0.5582208008990526
2,0.02,0.5615801949281531
3,0.03,0.562704479602684
4,0.04,0.562704479602684
5,0.05,0.5660908565808992
6,0.06,0.5706377482658458
7,0.07,0.7110584718531673
8,0.08,0.7196425780046226
9,0.09,0.7210833038865138
10,0.1,0.7254228106581334
11,0.11,0.7283303139999463
12,0.12,0.735650157800279
13,0.13,0.7702804674600792
14,0.14,0.9464846573585621
15,0.15,0.9502781792382339
16,0.16,0.9521806380555277
17,0.17,0.9540869055991824
18,0.18,0.9559969894942758
19,0.19,0.9579108973811512
20,0.2,0.9636756416255251
21,0.21,0.971415969367891
22,0.22,0.9772619876495665
23,0.23,0.9792184681053213
24,0.24,0.9851114421214094
25,0.25,0.9910398802794488
26,0.26,0.9950119800279639
27,0.27,1.0212215481749303
28,0.28,1.0232660357588639
29,0.29,1.0253146164110338
30,0.3,1.0273672983257707
31,0.31,1.0294240897138103
32,0.32,1.0314849988023262
33,0.33,1.1084908928883734
34,0.34,1.2423435708284598
35,0.35000000000000003,1.2498200417288827
36,0.36,1.2523221839545662
37,0.37,1.2548293354739948
38,0.38,1.2573415063157845
39,0.39,1.2573415063157845
40,0.4,1.259858706528629
41,0.41000000000000003,1.259858706528629
42,0.42,1.262380946181339
43,0.43,1.264908235362883
44,0.44,1.264908235362883
45,0.45,1.2674405841824286
46,0.46,1.2699780027693803
47,0.47000000000000003,1.4873553831999564
48,0.48,1.4933167214479137
49,0.49,1.4993019528112006
50,0.5,1.4993019528112006
51,0.51,1.5023035583223343
52,0.52,1.5053111730537103
53,0.53,1.5083248090357997
54,0.54,1.5083248090357997
55,0.55,1.5113444783231587
56,0.56,1.5113444783231587
57,0.5700000000000001,1.5113444783231587
58,0.58,1.5143701929944762
59,0.59,1.5174019651526234
60,0.6,1.5204398069247007
61,0.61,1.5204398069247007
62,0.62,1.5234837304620876
63,0.63,1.5265337479404901
64,0.64,1.5295898715599905
65,0.65,1.5357204861447855
66,0.66,1.541875672306502
67,0.67,1.5511547387956395
68,0.68,1.5573717856274387
69,0.6900000000000001,1.563613750457644
70,0.7000000000000001,1.5667441083164182
71,0.71,1.5730236375285789
72,0.72,1.5920136396420506
73,0.73,1.5952008541358285
74,0.74,1.5983944494394038
75,0.75,1.60159443832717
76,0.76,1.6048008335990964
77,0.77,1.6048008335990964
78,0.78,1.6080136480807765
79,0.79,1.6080136480807765
80,0.8,1.6112328946234806
81,0.81,1.6112328946234806
82,0.8200000000000001,1.6112328946234806
83,0.8300000000000001,1.6144585861042084
84,0.84,1.6144585861042084
85,0.85,1.6176907354257384
86,0.86,1.6176907354257384
87,0.87,1.6176907354257384
88,0.88,1.6209293555166808
89,0.89,1.6209293555166808
90,0.9,1.6209293555166808
91,0.91,1.624174459331529
92,0.92,1.624174459331529
93,0.93,1.624174459331529
94,0.9400000000000001,1.627426059850711
95,0.9500000000000001,1.6372199718286593
96,0.96,1.640497689489978
97,0.97,1.6503702670326814
98,0.98,1.6736379522860654
99,0.99,1.7700356547921128
100,1.0,8.223535304665846
